score_id	set_id	difficulty	tags
5058194	5032872	1	art-song,classical,german,romantic,song-cycle,piano
5087729	5032872	1	art-song,classical,german,romantic,song-cycle,piano
4926375	5032872	2	art-song,classical,german,night,romantic,song-cycle,piano
5058636	5032872	1	art-song,classical,german,romantic,song-cycle,piano
5058657	5032872	1	art-song,classical,german,romantic,song-cycle,piano
5069058	5033093	3	art-song,classical,german,night,romantic,song-cycle,piano
5846184	5033093	2	art-song,classical,german,romantic,song-cycle,piano
5069066	5033093	2	art-song,classical,german,romantic,song-cycle,piano
5069048	5033093	3	art-song,classical,german,romantic,song-cycle,piano
5846139	5033093	2	art-song,classical,german,romantic,song-cycle,piano
5098641	5033093	2	art-song,classical,german,romantic,song-cycle,piano
5033089	5033093	1	art-song,classical,german,romantic,song-cycle,piano
5098645	5033093	3	art-song,classical,german,romantic,song-cycle,piano
5846100	5033093	2	art-song,classical,german,romantic,song-cycle,piano
5098659	5033077	3	art-song,classical,german,romantic,song-cycle,piano
5098657	5033077	1	art-song,classical,german,romantic,song-cycle,piano
5925389	5033077	2	art-song,classical,german,romantic,song-cycle,piano
5033075	5033077	3	art-song,classical,german,romantic,song-cycle,piano
5934726	5033077	3	art-song,classical,german,romantic,song-cycle,piano
5098728	5033077	1	art-song,classical,german,romantic,song-cycle,piano
5936324	5033077	2	art-song,classical,german,romantic,song-cycle,piano
5937814	5033077	1	art-song,classical,german,romantic,song-cycle,piano
5940230	5033077	3	art-song,classical,german,romantic,song-cycle,piano
8708253	5577240	2	art-song,classical,german,romantic,song-cycle,piano
8708688	5577240	1	art-song,classical,german,romantic,song-cycle,piano
8712405	5577240	1	art-song,classical,german,romantic,song-cycle,piano
8712648	5577240	1	art-song,classical,german,romantic,song-cycle,piano
8702982	5577240	1	art-song,classical,german,romantic,song-cycle,piano
8718660	5577240	1	art-song,classical,german,romantic,song-cycle,piano
6451773	5103544	2	art-song,british,classical,late-romantic,romantic,piano
6451405	5103544	2	art-song,british,classical,late-romantic,romantic,piano
6474919	5103544	2	art-song,british,classical,dreams,late-romantic,romantic,piano
6257518	5103544	2	art-song,british,classical,late-romantic,romantic,piano
6476797	5103544	2	art-song,british,classical,late-romantic,love,romantic,piano
6322601	5103544	1	art-song,british,classical,late-romantic,romantic,piano
6478017	5103544	2	art-song,british,classical,late-romantic,romantic,piano
6451818	5103544	2	art-song,british,classical,late-romantic,romantic,piano
6477819	5103544	3	art-song,british,classical,late-romantic,romantic,piano
6588872	5106888	1	american,art-song,classical,female-composer,romantic,piano
6588799	5106888	2	american,art-song,birds,classical,female-composer,romantic,piano
6589315	5106888	2	american,art-song,classical,female-composer,romantic,piano
6565727	5104072	2	american,art-song,classical,late-romantic,romantic,spiritual,piano
6351349	5104072	2	american,art-song,classical,late-romantic,romantic,spiritual,piano
6753259	5104072	1	american,art-song,classical,late-romantic,romantic,spiritual,piano
6518082	5104071	2	american,art-song,classical,late-romantic,romantic,song-cycle,spiritual,piano
6518134	5104071	1	american,art-song,classical,late-romantic,nature,romantic,song-cycle,spiritual,piano
